,Unnamed: 0,obdb_id,name,brewery_type,street,address_2,address_3,city,state,county_province,postal_code,website_url,phone,country,longitude,latitude,tags,brewery_id,average_rating,num_of_ratings,num_of_beers,total_check_ins,unique_user_check_ins,last_four_week_check_ins,brewery_desc,brewery
17,17,contrary-brewing-co-muscatine,Contrary Brewing Co,micro,411 W Mississippi Dr,,,Muscatine,Iowa,,52761-3150,http://www.contrarybrewing.com,5632997894.0,United States,-91.05121455,41.41700522,,https://untappd.com/brewery/196373,3.8539999999999996,19312.0,305.0,25047,6245,281,"Small Town Brewery, Big Time Flavor
Taproom:
MONDAY: CLOSED
TUESDAY: 4-9pm
WEDNESDAY: 4-9pm
THURSDAY:4-9pm
FRIDAY: 4-9pm
SATURDAY: 12-10pm
SUNDAY: 1-6pm Show Less",Contrary_Brewing_Co
18,18,court-avenue-brewing-co-des-moines,Court Avenue Brewing Co,brewpub,309 Court Ave Ste 100,,,Des Moines,Iowa,,50309-2230,http://www.courtavebrew.com,5152822739.0,United States,,,,https://untappd.com/brewery/3228,3.592,22897.0,326.0,29969,9188,219,Show Less,Court_Avenue_Brewing_Co
19,19,crawford-brew-works-bettendorf,Crawford Brew Works,micro,3659 Devils Glen Rd,,,Bettendorf,Iowa,,52722,,,United States,-90.48344378,41.55924419,,https://untappd.com/brewery/391981,3.698,9975.0,85.0,12667,3463,103,"Crawford Brew Works is a craft brewery located in Bettendorf, Iowa, and is a member of the Iowa Brews Guild. The 3500 square foot space features Crawford Brewing Equipment and a taproom offering a number of flagship beers and seasonal options. There is both indoor and outdoor seating and the staff can accommodate groups of various sizes and with a Mezzanine area that is available to rent for private events. Show Less",Crawford_Brew_Works
20,20,debs-brewtopia-elkader,Deb's Brewtopia,micro,106 Cedar St,,,Elkader,Iowa,,52043,http://www.debsbrewtopia.com,5632453737.0,United States,-91.40608353,42.85486681,,https://untappd.com/brewery/100010,3.7289999999999996,2614.0,115.0,3093,1429,3,"Deb Winter is an award-winning Brewster who has a passion for brewing beer and making mead and wine. She currently grows 17 different varieties of hops that she uses in her beers. As of September 1, 2013, Deb's Brewtopia became the first licensed brewery in Elkader, Iowa, in over 127 years. Show Less",Deb_s_Brewtopia
21,21,depot-deli-and-lounge-shenandoah,Depot Deli and Lounge,brewpub,101 N Railroad St,,,Shenandoah,Iowa,,51601-1158,http://www.depotdeli.com,7122464444.0,United States,-95.376823,40.765042,,https://untappd.com/brewery/72028,2.97,153.0,13.0,193,108,2,Show Less,Depot_Deli_and_Lounge
22,22,dimensional-brewing-co-dubuque,Dimensional Brewing Co.,planning,,,,Dubuque,Iowa,,52001,http://www.dimensionalbrewing.com,,United States,,,,https://untappd.com/brewery/386637,4.069,48211.0,231.0,61317,8342,1419,"“What Dubuque makes, makes Dubuque.”
In a city with a rich history of brewing beer dating back to the late 1800’s, we are proud to continue this great tradition of original hand crafted beer…
We are looking forward to serving you… Cheers! Show Less",Dimensional_Brewing_Co_
23,23,drink-me-brewing-sibley,Drink Me Brewing,micro,210 9th St,,,Sibley,Iowa,,51249-1812,http://www.drinkmebrewing.com,2173161890.0,United States,-95.7506989,43.39942206,,https://untappd.com/brewery/371030,3.6860000000000004,372.0,23.0,493,163,12,"Welcome! Drink Me Brewing is a family owned and operated micro brewery in Sibley, Iowa. We take pride in using local ingredients for our beers, which are barrel aged to perfection. We have been working hard to renovate our facility, and hope to have our tasting room ready for visitors by spring. Show Less",Drink_Me_Brewing
24,24,exile-brewing-des-moines,Exile Brewing,micro,1514 Walnut St,,,Des Moines,Iowa,,50309-3420,http://www.exilebrewing.com,5158832337.0,United States,-93.63702159,41.5830167,,https://untappd.com/brewery/37808,3.725,162396.0,119.0,229215,48251,1358,"Beer fulfills our purpose. It cultivates our community of free-spirits, oddballs and outsiders. It ties us together and builds our festivities. The product of an unparalleled commitment to innovation and quality, it’s our labor of love for our uncommon family. Welcome to Exile, we’re far from ordinary. Show Less",Exile_Brewing
25,25,fat-hill-brewing-mason-city,Fat Hill Brewing,micro,17 N Federal Ave,,,Mason City,Iowa,,50401-3250,http://FatHillBrewing.com,9524126272.0,United States,-93.20096509,43.15203459,,https://untappd.com/brewery/256747,3.897,7221.0,129.0,9773,1782,109,"Fat Hill Brewing is a 7-barrel brewery that opened in downtown Mason City, Iowa, in December 2016. Show Less",Fat_Hill_Brewing
26,26,fenceline-beer-lab-huxley,Fenceline Beer Lab,planning,,,,Huxley,Iowa,,50124-9311,,,United States,,,,https://untappd.com/brewery/451754,3.7260000000000004,2271.0,58.0,2725,598,56,Show Less,Fenceline_Beer_Lab
27,27,fenders-brewing-company-polk-city,Fenders Brewing Company,micro,212 W Van Dorn St,,,Polk City,Iowa,,50226-2297,http://fendersbrewing.com,,United States,-93.71392,41.77079882,,https://untappd.com/brewery/479457,0.0,1.0,1.0,1,1,0,Show Less,Fenders_Brewing_Company
28,28,firetrucker-brewery-ankeny,Firetrucker Brewery,micro,716 SW 3rd St,,,Ankeny,Iowa,,50023-2615,http://www.firetrucker.com,5159641284.0,United States,-93.60984369,41.7299268,,https://untappd.com/brewery/126926,3.6639999999999997,57918.0,224.0,81363,20816,363,"Firetrucker Brewery resides in the old Ankeny fire station, and its interior still reflects that history. We believe that beer is art! Our craft beers span many styles from our Brigade Golden Ale, our collection of ginger beers, to our rotating seasonal brews! We have a style to satisfy every beer drinker. Show Less",Firetrucker_Brewery
29,29,five-cities-brewing-bettendorf,Five Cities Brewing,micro,2255 Falcon Ave,,,Bettendorf,Iowa,,52722,http://www.fivecitiesbrewing.com,5632326105.0,United States,-90.50126378,41.57430518,,https://untappd.com/brewery/387733,3.806,17892.0,103.0,22303,7364,315,Show Less,Five_Cities_Brewing
30,30,flix-brewhouse-des-moines,Flix Brewhouse,brewpub,3800 Merle Hay Rd,,,Des Moines,Iowa,,50310-1305,,5122442739.0,United States,-93.69978309999999,41.6306427,,https://untappd.com/brewery/15976,3.6710000000000003,41644.0,365.0,51927,14320,181,We are America’s Cinema Brewery - the only first run movie theater in the world to incorporate a fully functioning microbrewery! Show Less,Flix_Brewhouse
31,31,fox-brewing-west-des-moines,Fox Brewing,micro,103 S 11th St,,,West Des Moines,Iowa,,50265-4410,http://www.foxbrewco.com,5156350323.0,United States,-93.71821038,41.56970863,,https://untappd.com/brewery/3865,3.5439999999999996,412268.0,446.0,555868,152646,2086,"Sly Fox Brewing Company is headquartered in Pottstown, Pennsylvania with a 50-hectoliter production brewery at 331 Circle of Progress.
The Pottstown brewery location opened in January 2012 and Sly Fox beers are currently available in Pennsylvania, New York, Maryland, DC, Virginia, and New Jersey. John and Peter Giannopoulos are the Managing Partners. Brian O’Reilly is the brewmaster, assisted by Director of Brewing Operations Tim Ohst and the brewing staff. Mark Weinmann is Director of Sales. Sly Fox is considered to be one of the premier craft brewers in the Mid-Atlantic region.
The company was founded in December 1995 by the Giannopoulos family when Peter Giannopoulos opened the Sly Fox Brewhouse & Eatery in Phoenixville, Pennsylvania. Show Less",Fox_Brewing
32,32,franklin-street-brewing-company-manchester,Franklin Street Brewing Company,micro,116 S Franklin St,,,Manchester,Iowa,,52057-2121,http://www.franklinstreetbrewing.com,5639272722.0,United States,-91.45777929,42.48329324,,https://untappd.com/brewery/70650,3.842,20664.0,146.0,27937,8538,197,Show Less,Franklin_Street_Brewing_Company
33,33,front-street-brewery-ia-davenport,Front Street Brewery - IA,brewpub,208 E River Dr,,,Davenport,Iowa,,52801-1609,http://www.frontstreetbrew.com,5633221569.0,United States,-90.572491,41.520329,,https://untappd.com/brewery/32185,3.622,26831.0,167.0,35226,12823,207,"Nestled in downtown Davenport in what was originally called the Bucktown area in the 1920’s, Front Street Brewery radiates the charm that only history can impart. Front Street’s warm interior is highlighted by burnished wood and exposed brick walls. The main brewery and restaurant, both more than 100 years old are separated by a quaint brick beer garden.
Front Street Brewery, the oldest brew pub in the state of Iowa, is nestled beautifully along the bank of the Mighty Mississippi. It has served the fine community of Davenport, Iowa for over 18 years. Show Less",Front_Street_Brewery_IA
34,34,granite-city-food-and-wort-house-ellsworth,Granite City Food & Wort House,micro,1722 Detroit St,,,Ellsworth,Iowa,,50075,http://www.gcfb.net,5158364060.0,United States,-93.57473798,42.31330919,,https://untappd.com/brewery/8502,3.4410000000000003,194293.0,256.0,261381,76435,563,"Established 1999. Granite City Food & Brewery currently has 18 casual brewpub/restaurants featuring made-from-scratch food and handcrafted Ales and Lagers. Beer is available on draft at the restaurants as well as in 2 liter growlers for take-out. In order to supply all our locations with handcrafted beer we have developed the Fermentus Interuptus system of brewing. This involves brewing the unfermented wort at our Brewhouse in central Iowa, then shipping chilled wort and our proprietary yeasts out to each restaurant for fermentation. Show Less",Granite_City_Food_Wort_House
35,35,great-river-brewery-davenport,Great River Brewery,micro,332 E 2nd St,,,Davenport,Iowa,,52801-1702,http://www.greatriverbrewery.com,3195415160.0,United States,-90.57063937,41.52138805,,https://untappd.com/brewery/1796,3.536,41881.0,160.0,58694,19827,4,Show Less,Great_River_Brewery
36,36,green-tree-brewery-le-claire,Green Tree Brewery,micro,309 N Cody Road,,,Le Claire,Iowa,,52753,,,United States,,,,https://untappd.com/brewery/218781,3.7289999999999996,21451.0,64.0,28207,7160,161,"Green Tree Brewery ‒ where the beer is always great, and the view even greater! Check out our exciting brew selection, and be sure to come see us at our amazing brewery right on the river in Le Claire, Iowa! Show Less",Green_Tree_Brewery
37,37,iowa-brewing-cedar-rapids,Iowa Brewing,micro,708 3rd St SE,,,Cedar Rapids,Iowa,,52401-2012,http://www.iowabrewing.beer,3193662337.0,United States,-91.66212463,41.97421739,,https://untappd.com/brewery/263854,3.7439999999999998,59204.0,108.0,78409,18374,492,Combining tradition and innovation to make great beers for the people of Iowa and beyond - IOWA BREWING Co. is a 30-barrel production brewery and taproom located on the SE side of Downtown Cedar Rapids. Show Less,Iowa_Brewing
38,38,iowa-river-brewing-company-marshalltown,Iowa River Brewing Company,micro,107 N 1st St,,,Marshalltown,Iowa,,50158-5803,http://www.iowariverbrewing.com,6417512848.0,United States,-92.91450419,42.05061076,,https://untappd.com/brewery/58210,3.437,2514.0,0.0,3114,954,0,Show Less,Iowa_River_Brewing_Company
39,39,jackson-street-brewing-sioux-city,Jackson Street Brewing,micro,607 5th St,,,Sioux City,Iowa,,51101-1301,,7125748403.0,United States,-96.40323429,42.49533849,,https://untappd.com/brewery/215187,3.935,22556.0,459.0,29025,5391,166,"Starting out as a labor of love in our kitchen, Jackson Street Brewing is our dream come true. We love beers and living off of the land and if you do, too, you've come to the right place!
We brew, in-house, several varieties of our own hand-crafted seasonal ales, porters, fruit beers from our orchard harvests, and stouts. All of our beers are available on tap and we will soon be filling growlers so you can enjoy them at home too.
So stop by Jackson Street Brewing in Sioux City and meet the head brewer and owner, Dave Winslow. See our small but mighty facility, purchase flights or a snifter of craft beer and then you can sit back and enjoy. Show Less",Jackson_Street_Brewing
40,40,jubeck-new-world-brewing-dubuque,Jubeck New World Brewing,micro,115 W 11th St,,,Dubuque,Iowa,,52001-4802,http://www.jubeckbrewing.com,7753755692.0,United States,-90.66770404,42.50362393,,https://untappd.com/brewery/109946,3.708,11885.0,213.0,15779,2641,92,"Dubuque's first craft (nano) brewery. All beer is brewed on site with a custom built 50 gallon brewing system. Jubeck New World Brewing crafts new beers weekly with an emphasis on seasonal brewing so the lineup of beers on tap is always changing. Typical beers available include: apricot IPA, lavender honey wheat, warrior stout, black IPA, blond ale, robust porter, English pub ale, coffee stout, etc. Great beer, great people, great community! Show Less",Jubeck_New_World_Brewing
41,41,kalona-brewing-company-kalona,Kalona Brewing Company,brewpub,405 B Ave,,,Kalona,Iowa,,52247,http://www.kalonabrewing.com,3196563335.0,United States,-91.7075553,41.4833131,,https://untappd.com/brewery/76081,3.591,35320.0,196.0,46196,14297,204,"Brewery and scratch kitchen restaurant located in the beautiful, rural city of Kalona, Iowa since 2013, with distribution of cans and kegs across Eastern and Central Iowa. Show Less",Kalona_Brewing_Company
42,42,keg-creek-brewing-company-glenwood,Keg Creek Brewing Company,micro,111 Sharp St,,,Glenwood,Iowa,,51534-1755,http://www.kegcreekbrewing.com,7125209029.0,United States,-95.7356912,41.047345299999996,,https://untappd.com/brewery/17308,3.617,35492.0,223.0,45668,15439,307,On the banks of Keg Creek our brewery produces 15 bbl and 3 bbl batches of multiple style of beer ranging from light pilsners to dark stouts with everything in between. The taproom has 20 taps and is open six days a week. Stop in and see us. Show Less,Keg_Creek_Brewing_Company
43,43,lake-time-brewery-clear-lake,Lake Time Brewery,micro,801 Main Ave Ste C,,,Clear Lake,Iowa,,50428-1919,http://www.laketimebrewery.com,6413572040.0,United States,,,,https://untappd.com/brewery/69372,3.752,42621.0,253.0,55453,14968,539,Lake Time Brewery produces and sells craft beer in Clear Lake Iowa. The Brew Pub will have 10 different beers on tap at all times including specialty and seasonal brews. Lake Time is special because everything we have on tap is crafted specifically for our customers and served in an inviting atmosphere that is conducive for conversation. There is not another place in Clear Lake where people can go to relax and enjoy a locally made craft beer. Show Less,Lake_Time_Brewery
44,44,lark-brewing-waterloo,Lark Brewing,brewpub,3295 University Ave,,,Waterloo,Iowa,,50701-2003,http://www.larkbrewing.com,3192385275.0,United States,-92.39002129,42.50147007,,https://untappd.com/brewery/254363,3.926,14371.0,223.0,19422,3774,277,Show Less,Lark_Brewing
45,45,limestone-brewers-osage,Limestone Brewers,micro,518 Main St,,,Osage,Iowa,,50461,http://www.limestonebrewers.com,6418323100.0,United States,-92.813673,43.2839156,,https://untappd.com/brewery/381193,3.7,1808.0,73.0,2394,1002,38,"Great beer brings people from everywhere together to meet in the middle.
Brewed in the Middle of Everywhere Show Less",Limestone_Brewers
46,46,lion-bridge-brewing-company-cedar-rapids,Lion Bridge Brewing Company,brewpub,59 16th Ave SW,,,Cedar Rapids,Iowa,,52404-5948,http://www.lionbridgebrewing.com,3192004460.0,United States,-91.66095281,41.96478948,,https://untappd.com/brewery/96759,3.911,92819.0,23.0,135240,20775,1211,"Lion Bridge Brewing Company is a neighborhood brewery and beer hall located in the historic Czech Village / New Bohemia Main Street District in Cedar Rapids, Iowa.
We always have 8-20 beers available in our beer hall as well as a beer-centric food menu.
Year-round beers are:
Compensation English Mild Ale (GABF Gold Medal 2016 & 2014), Disaster at Meux Brown Porter (GABF Gold Medal 2015; GABF Silver Medal 2021), Bridge Beer Golden Ale, and Yard Sale IPA.
We distribute beer throughout Iowa and are found wherever great draft and canned beer is sold. Show Less",Lion_Bridge_Brewing_Company
47,47,lost-duck-brewing-co-fort-madison,Lost Duck Brewing Co.,brewpub,723 Avenue H # 725,,,Fort Madison,Iowa,,52627-2935,http://www.duckbrewing.com,3193728255.0,United States,-91.31026009,40.63007017,,https://untappd.com/brewery/11364,3.0989999999999998,1317.0,49.0,1556,638,2,Show Less,Lost_Duck_Brewing_Co_
48,48,madhouse-brewing-co-des-moines,Madhouse Brewing Co,micro,501 Scott Ave,,,Des Moines,Iowa,,50309-5047,http://www.madhousebeer.com,9165017014.0,United States,-93.60766907,41.58113315,,https://untappd.com/brewery/1521,3.892,47174.0,6.0,62293,16685,45,"Madhouse Brewing Company is microbrewery located in the Historic East Village area of Downtown Des Moines. All brewing, fermentation and packaging of the beer occurs onsite, and is then distributed. Madhouse beers are packaged in six-packs and 22oz bottles and standard kegs. These should be available from your local supplier of quality craft beer. Tasting room hours are Thursday & Friday 4-10pm and Saturday 12-8pm. Limited food options available. Show Less",Madhouse_Brewing_Co
49,49,mason-city-brewing-mason-city,Mason City Brewing,micro,28 E State St,,,Mason City,Iowa,,50401-3318,http://www.masoncitybrewing.com,6414231080.0,United States,-93.20033373,43.15160788,,https://untappd.com/brewery/56369,3.6069999999999998,3196.0,96.0,4407,1441,11,"Mason City Brewing is a micro-brewery in Mason City, Iowa. The brewery was established in 2012 and opened February 2013. Mason City Brewing offers eight beers. Four regular house beers and four rotating taps. The taproom is open from 5-11 Fridays and Saturdays. Show Less",Mason_City_Brewing
50,50,millstream-brewing-co-amana,Millstream Brewing Co,brewpub,835 48th Ave,,,Amana,Iowa,,52203-8122,http://www.millstreambrewing.com,3196223672.0,United States,-91.86527265,41.7949318,,https://untappd.com/brewery/865,3.53,92439.0,265.0,128424,47025,693,"Iowa Microbrewery founded in 1985 with one goal in mind, that was to brew quality craft beer, one batch at a time! Show Less",Millstream_Brewing_Co
51,51,mistress-brewing-company-ankeny,Mistress Brewing Company,micro,1460 NE 69th Pl Ste 66,,,Ankeny,Iowa,,50021-8934,http://www.mistressbrewing.com,5157712133.0,United States,,,,https://untappd.com/brewery/297229,3.55,12504.0,92.0,15877,4770,233,"Mistress Brewing is a wholesale distributor of quality craft beer, available on tap and for purchase from fine establishments in central Iowa.
Born from a passion for making great beer, a desire to share our creations with others, and a lot of hard work. In January 2016 we found a home for our dream right in our own backyard – central, Iowa. Thank you to everyone that has provided their time, effort, and support to make this dream a reality.
We look forward to sharing our Mistress with you.
Shawn & Jeff
Owners of Mistress Brewing Company and Creators of Good Beer Behaving Badly
To learn more about our beers and where to purchase these quality beverages, visit our website at www.mistressbrewing.com .
Keep tabs on your Mistress - follow us on Facebook, Twitter, and Instagram.
Show Less",Mistress_Brewing_Company
52,52,new-american-brewing-company-ankeny,New American Brewing Company,micro,1631 SW Main St Ste 105,,,Ankeny,Iowa,,50023-7254,http://www.newamericanbeer.com,5152505648.0,United States,,,,https://untappd.com/brewery/79450,3.612,8259.0,0.0,10823,4671,0,Show Less,New_American_Brewing_Company
53,53,nocoast-beer-co-oskaloosa,NoCoast Beer Co,micro,1407 17th Ave E Ste B,,,Oskaloosa,Iowa,,52577-3563,http://www.nocoastbeer.co,6416733481.0,United States,,,,https://untappd.com/brewery/292842,3.654,21347.0,60.0,27021,12662,381,"Inspired by the no-nonsense spirit of the Midwest, NoCoast® crafts good beer, PLAINS SIMPLE®. But this reverence for simplicity is anything but boring. Show Less",NoCoast_Beer_Co
54,54,okoboji-brewing-co-spirit-lake,Okoboji Brewing Co,micro,3705 Highway 71,,,Spirit Lake,Iowa,,51360-7196,http://www.brewokoboji.com,7123303363.0,United States,,,,https://untappd.com/brewery/65918,3.6910000000000003,49287.0,150.0,70845,23260,454,Show Less,Okoboji_Brewing_Co
